region,week,lineage,count
Караганда,1,L4_Euro_American,21
Караганда,1,L2_Beijing_MDR,3
Караганда,1,L3_CAS,6
Караганда,2,L4_Euro_American,20
Караганда,2,L2_Beijing_MDR,4
Караганда,2,L3_CAS,6
Караганда,3,L4_Euro_American,20
Караганда,3,L2_Beijing_MDR,5
Караганда,3,L3_CAS,6
Караганда,4,L4_Euro_American,19
Караганда,4,L2_Beijing_MDR,6
Караганда,4,L3_CAS,6
Караганда,5,L4_Euro_American,18
Караганда,5,L2_Beijing_MDR,7
Караганда,5,L3_CAS,6
Караганда,6,L4_Euro_American,17
Караганда,6,L2_Beijing_MDR,8
Караганда,6,L3_CAS,5
Караганда,7,L4_Euro_American,16
Караганда,7,L2_Beijing_MDR,9
Караганда,7,L3_CAS,5
Караганда,8,L4_Euro_American,16
Караганда,8,L2_Beijing_MDR,10
Караганда,8,L3_CAS,5
Караганда,9,L4_Euro_American,15
Караганда,9,L2_Beijing_MDR,11
Караганда,9,L3_CAS,5
Караганда,10,L4_Euro_American,14
Караганда,10,L2_Beijing_MDR,13
Караганда,10,L3_CAS,5
Караганда,11,L4_Euro_American,13
Караганда,11,L2_Beijing_MDR,14
Караганда,11,L3_CAS,4
Караганда,12,L4_Euro_American,12
Караганда,12,L2_Beijing_MDR,15
Караганда,12,L3_CAS,4
Караганда,13,L4_Euro_American,12
Караганда,13,L2_Beijing_MDR,16
Караганда,13,L3_CAS,4
Караганда,14,L4_Euro_American,11
Караганда,14,L2_Beijing_MDR,17
Караганда,14,L3_CAS,4
Караганда,15,L4_Euro_American,10
Караганда,15,L2_Beijing_MDR,18
Караганда,15,L3_CAS,4
Караганда,16,L4_Euro_American,9
Караганда,16,L2_Beijing_MDR,19
Караганда,16,L3_CAS,3
Караганда,17,L4_Euro_American,8
Караганда,17,L2_Beijing_MDR,20
Караганда,17,L3_CAS,3
Караганда,18,L4_Euro_American,8
Караганда,18,L2_Beijing_MDR,21
Караганда,18,L3_CAS,3
Караганда,19,L4_Euro_American,7
Караганда,19,L2_Beijing_MDR,22
Караганда,19,L3_CAS,3
